Date,Origin,Residence permit,Male,Female
2006-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",22494,18769
2006-12-31,Africa,Application for residence title filed,4467,2556
2006-12-31,Africa,Temporary suspension of deportation,12661,5577
2006-12-31,Africa,Permission to reside,2545,1866
2006-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",12856,6753
2006-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,2901,5164
2006-12-31,America,Exempted from requirem. to have a residence title,2066,1161
2006-12-31,America,Unlimited settlement permit,40035,50085
2006-12-31,America,Temporary residence permit,43216,49937
2006-12-31,America,Temporary residence permit for education purposes,7485,7295
2006-12-31,America,Temporary residence permit for employment purposes,7457,4141
2006-12-31,America,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",224,265
2006-12-31,America,Temporary residence permit for family reasons,9462,17972
2006-12-31,America,"Temp.resid.permit f.special reasons,national visas",18588,20264
2006-12-31,America,Application for residence title filed,1503,1711
2006-12-31,America,Temporary suspension of deportation,203,233
2006-12-31,America,Permission to reside,210,126
2006-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",7457,7031
2006-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,2436,3573
2006-12-31,Asia,Exempted from requirem. to have a residence title,263,319
2006-12-31,Asia,Unlimited settlement permit,112505,137330
2006-12-31,Asia,Temporary residence permit,205527,216500
2006-12-31,Asia,Temporary residence permit for education purposes,34867,29402
2006-12-31,Asia,Temporary residence permit for employment purposes,20011,7527
2006-12-31,Asia,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",35784,26452
2006-12-31,Asia,Temporary residence permit for family reasons,51836,87889
2006-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",63029,65230
2006-12-31,Asia,Application for residence title filed,9422,7684
2006-12-31,Asia,Temporary suspension of deportation,38084,20836
2006-12-31,Asia,Permission to reside,7967,4861
2006-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",29227,20060
2006-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,201,265
2006-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,30,42
2006-12-31,Australia and Oceania,Unlimited settlement permit,1764,1881
2006-12-31,Australia and Oceania,Temporary residence permit,3008,2539
2006-12-31,Australia and Oceania,Temporary residence permit for education purposes,292,326
